id,category,category_rank,keyword,search_type,monthly_lower,monthly_upper,blog_documents,recent_posts,recent_posts_note,opportunity,persistence,home_fit,priority,overall_rank,search_source,live_pc_monthly,live_mobile_monthly,live_competition,live_depth,live_checked_at
K0026,경제·비즈니스,26,세금계산서발행,세부 검색어,15820,15820,49834,672,수집결과 내 집계,75.32787845276576,91.19423595258648,75.0,80.02221001215882,251,네이버 검색광고 API,9200,6620,높음,10,2026-09-12T08:34:49+09:00
K0027,경제·비즈니스,27,신용점수조회,도구·신청 혼합형,15480,15480,7749,557,수집결과 내 집계,89.42008814785646,97.96399284080033,50.0,84.09924192616833,118,네이버 검색광고 API,2180,13300,높음,10,2026-09-12T08:34:49+09:00
K0028,경제·비즈니스,28,소득세계산기,도구·신청 혼합형,14870,14870,8512,316,수집결과 내 집계,89.03730855029448,89.06723404449467,75.0,86.23882448849564,67,네이버 검색광고 API,10300,4570,높음,3,2026-09-12T08:34:49+09:00
K0029,경제·비즈니스,29,월세세액공제,세부 검색어,12220,12220,18231,982,이상(하한),86.47833310651247,92.89738525761396,50.0,81.10838213054042,214,네이버 검색광고 API,2640,9580,높음,7,2026-09-12T08:34:49+09:00
K0030,경제·비즈니스,30,상속세세율,세부 검색어,14100,14100,11383,313,수집결과 내 집계,89.02192048712877,98.00336972318355,75.0,88.91197116051944,31,네이버 검색광고 API,1900,12200,높음,10,2026-09-12T08:34:49+09:00
K0031,경제·비즈니스,31,IRP계좌개설,세부 검색어,14170,14170,7069,228,수집결과 내 집계,88.95606106766104,89.49820509616644,50.0,81.32749206268045,206,네이버 검색광고 API,3470,10700,중간,8,2026-09-12T08:34:49+09:00
K0032,경제·비즈니스,32,퇴직연금수령방법,세부 검색어,13260,13260,4297,129,수집결과 내 집계,88.51919638732812,93.02116576544174,75.0,87.16594792329659,50,네이버 검색광고 API,2660,10600,높음,10,2026-09-12T08:34:49+09:00
K0033,경제·비즈니스,33,퇴직금중간정산,세부 검색어,13500,13500,11141,431,수집결과 내 집계,88.49393196022267,87.78315622552674,50.0,80.58191284776936,229,네이버 검색광고 API,3400,10100,높음,10,2026-09-12T08:34:49+09:00
K0034,경제·비즈니스,34,소득세계산법,세부 검색어,10780,10780,6003,314,수집결과 내 집계,87.49711449699232,92.50541697416861,75.0,86.50018234074675,62,네이버 검색광고 API,4070,6710,높음,7,2026-09-12T08:34:49+09:00
K0035,경제·비즈니스,35,연봉1억실수령액,세부 검색어,11140,11140,2425,242,수집결과 내 집계,87.4010796877995,97.85267391801305,75.0,88.05634201930366,40,네이버 검색광고 API,1910,9230,낮음,0,2026-09-12T08:34:49+09:00
